   emu(eV)      n(10^20/cm3)               DOS            intDOS       tau(1E-14s)         |vk|(m/s)        sigma(S/m)       ke(Wm-1K-1)      L(1E-8V2K-2)           S(uV/K)   PF(1E-4Wm-1K-2)
  -2.06000    -1838.7155         3.0796470         14.496737         1.3133500         247972.46         2813980.6         42.978555         1.9091529         2.3470846        0.15501674    
  -2.05000    -1832.5766         3.2673687         14.528466         1.3010440         241925.95         2811715.9         42.630303         1.8952085         4.4372279        0.55359849    
  -2.04000    -1826.0672         3.4624708         14.562109         1.2891381         235982.20         2805737.3         42.272734         1.8833166         6.6147148         1.2276350    
  -2.03000    -1819.1733         3.6647930         14.597739         1.2775977         230137.21         2795853.5         41.910943         1.8737991         8.8704947         2.1999362    
  -2.02000    -1811.8812         3.8741919         14.635428         1.2663943         224386.32         2781917.5         41.549772         1.8669574         11.193574         3.4856339    
  -2.01000    -1804.1771         4.0905457         14.675246         1.2555060         218724.82         2763834.3         41.193701         1.8630685         13.571215         5.0903717    
  -2.00000    -1796.0478         4.3137492         14.717262         1.2449174         213148.71         2741566.6         40.846769         1.8623826         15.989181         7.0089221    
  -1.99000    -1787.4800         4.5436994         14.761544         1.2346196         207655.28         2715138.2         40.512531         1.8651228         18.431981         9.2243538    
  -1.98000    -1778.4610         4.7802707         14.808158         1.2246092         202243.75         2684635.1         40.194046         1.8714855         20.883124         11.707824    
  -1.97000    -1768.9779         5.0232783         14.857171         1.2148880         196915.69         2650203.9         39.893901         1.8816430         23.325343         14.419007    
  -1.96000    -1759.0187         5.2724351         14.908644         1.2054609         191675.38         2612049.2         39.614244         1.8957455         25.740778         17.307115    
  -1.95000    -1748.5717         5.5273012         14.962638         1.1963353         186529.89         2570427.4         39.356835         1.9139247         28.111129         20.312431    
  -1.94000    -1737.6267         5.7872328         15.019207         1.1875189         181488.97         2525641.4         39.123091         1.9362948         30.417763         23.368253    
  -1.93000    -1726.1745         6.0513349         15.078397         1.1790187         176564.81         2478032.9         38.914133         1.9629549         32.641798         26.403118    
  -1.92000    -1714.2082         6.3184224         15.140244         1.1708393         171771.53         2427974.4         38.730820         1.9939883         34.764168         29.343221    
  -1.91000    -1701.7234         6.5869966         15.204770         1.1629825         167124.60         2375861.6         38.573773         2.0294623         36.765678         32.114879    
  -1.90000    -1688.7190         6.8552415         15.271983         1.1554457         162640.10         2322105.4         38.443401         2.0694259         38.627065         34.646978    
  -1.89000    -1675.1976         7.1210434         15.341867         1.1482224         158334.02         2267123.7         38.339911         2.1139071         40.329064         36.873258    
  -1.88000    -1661.1662         7.3820377         15.414387         1.1413017         154221.53         2211334.3         38.263329         2.1629095         41.852467         38.734373    
  -1.87000    -1646.6364         7.6356790         15.489483         1.1346688         150316.33         2155148.5         38.213509         2.2164081         43.178178         40.179619    
  -1.86000    -1631.6252         7.8793356         15.567068         1.1283055         146630.14         2098964.7         38.190146         2.2743442         44.287257         41.168278    
  -1.85000    -1616.1543         8.1103991         15.647028         1.1221911         143172.33         2043164.5         38.192768         2.3366186         45.160933         41.670540    
  -1.84000    -1600.2505         8.3264042         15.729226         1.1163031         139949.72         1988109.1         38.220710         2.4030818         45.780599         41.668049    
  -1.83000    -1583.9451         8.5251470         15.813499         1.1106186         136966.56         1934138.0         38.273050         2.4735211         46.127823         41.154126    
  -1.82000    -1567.2735         8.7047947         15.899665         1.1051142         134224.61         1881568.5         38.348498         2.5476417         46.184391         40.133817    
  -1.81000    -1550.2738         8.8639761         15.987526         1.0997679         131723.41         1830696.9         38.445246         2.6250417         45.932463         38.623882    
