   emu(eV)      n(10^20/cm3)               DOS            intDOS            DOSvk2         |vk|(m/s)             sigma                ke      L(1E-8V2K-2)           S(uV/K)                PF  EFF(10^-20 W^5/3 m s^-1/3 K^-2)
  -1.94000    -1737.6267         5.7872328         15.019207        0.19062130E+12     181488.97        0.19697101E+21    0.29631919E+16     1.8804746         14.214606         3.9798982        0.50536220E-01
  -1.93000    -1726.1745         6.0513349         15.078397        0.18865116E+12     176564.81        0.19493525E+21    0.29780542E+16     1.9096432         16.532997         5.3283597        0.65675617E-01
  -1.92000    -1714.2082         6.3184224         15.140244        0.18642795E+12     171771.53        0.19263798E+21    0.29942209E+16     1.9429066         18.729233         6.7574351        0.80925899E-01
  -1.91000    -1701.7234         6.5869966         15.204770        0.18397897E+12     167124.60        0.19010742E+21    0.30117284E+16     1.9802806         20.786008         8.2137454        0.95674095E-01
  -1.90000    -1688.7190         6.8552415         15.271983        0.18133349E+12     162640.10        0.18737382E+21    0.30306012E+16     2.0217614         22.686153         9.6434094        0.10937721    
  -1.89000    -1675.1976         7.1210434         15.341867        0.17852216E+12     158334.02        0.18446884E+21    0.30508524E+16     2.0673223         24.412697         10.993970        0.12157292    
  -1.88000    -1661.1662         7.3820377         15.414387        0.17557646E+12     154221.53        0.18142502E+21    0.30724840E+16     2.1169103         25.948927         12.216196        0.13188536    
  -1.87000    -1646.6364         7.6356790         15.489483        0.17252816E+12     150316.33        0.17827518E+21    0.30954869E+16     2.1704415         27.278440         13.265693        0.14002629    
  -1.86000    -1631.6252         7.8793356         15.567068        0.16940884E+12     146630.14        0.17505196E+21    0.31198406E+16     2.2277962         28.385171         14.104251        0.14579245    
  -1.85000    -1616.1543         8.1103991         15.647028        0.16624951E+12     143172.33        0.17178739E+21    0.31455116E+16     2.2888115         29.253408         14.700909        0.14905989    
  -1.84000    -1600.2505         8.3264042         15.729226        0.16308032E+12     139949.72        0.16851263E+21    0.31724490E+16     2.3532724         29.867782         15.032749        0.14977690    
  -1.83000    -1583.9451         8.5251470         15.813499        0.15993038E+12     136966.56        0.16525776E+21    0.32005775E+16     2.4208980         30.213289         15.085436        0.14795673    
  -1.82000    -1567.2735         8.7047947         15.899665        0.15682773E+12     134224.61        0.16205176E+21    0.32297861E+16     2.4913229         30.275357         14.853620        0.14367175    
  -1.81000    -1550.2738         8.8639761         15.987526        0.15379935E+12     131723.41        0.15892251E+21    0.32599133E+16     2.5640746         30.040051         14.341241        0.13705002    
  -1.80000    -1532.9867         9.0018459         16.076873        0.15087132E+12     129460.58        0.15589693E+21    0.32907288E+16     2.6385452         29.494461         13.561837        0.12827505    
  -1.79000    -1515.4538         9.1181182         16.167491        0.14806890E+12     127432.24        0.15300117E+21    0.33219152E+16     2.7139623         28.627359         12.538839        0.11758861    
  -1.78000    -1497.7166         9.2130652         16.259164        0.14541673E+12     125633.40        0.15026065E+21    0.33530509E+16     2.7893621         27.430131         11.305793        0.10529547    
  -1.77000    -1479.8157         9.2874829         16.351684        0.14293876E+12     124058.35        0.14770014E+21    0.33835989E+16     2.8635711         25.898001         9.9063436        0.91768322E-01
  -1.76000    -1461.7897         9.3426261         16.444850        0.14065831E+12     122701.03        0.14534373E+21    0.34129049E+16     2.9352014         24.031452         8.3937556        0.77450060E-01
  -1.75000    -1443.6744         9.3801192         16.538477        0.13859778E+12     121555.32        0.14321456E+21    0.34402071E+16     3.0026689         21.837735         6.8297111        0.62850419E-01
  -1.74000    -1425.5021         9.4018504         16.632400        0.13677838E+12     120615.21        0.14133455E+21    0.34646589E+16     3.0642355         19.332268         5.2821896        0.48534420E-01
  -1.73000    -1407.3013         9.4098587         16.726469        0.13521977E+12     119874.98        0.13972402E+21    0.34853640E+16     3.1180788         16.539744         3.8223338        0.35100877E-01
  -1.72000    -1389.0967         9.4062241         16.820558        0.13393956E+12     119329.21        0.13840117E+21    0.35014222E+16     3.1623849         13.494732         2.5203931        0.23150986E-01
  -1.71000    -1370.9087         9.3929678         16.914561        0.13295294E+12     118972.77        0.13738169E+21    0.35119797E+16     3.1954583         10.241665         1.4410200        0.13248891E-01
  -1.70000    -1352.7542         9.3719705         17.008392        0.13227224E+12     118800.67        0.13667831E+21    0.35162796E+16     3.2158355         6.8341201        0.63835874        0.58779012E-02
  -1.69000    -1334.6464         9.3449109         17.101980        0.13190658E+12     118807.99        0.13630047E+21    0.35137086E+16     3.2223923         3.3334405        0.15145471        0.13972606E-02
  -1.68000    -1316.5956         9.3132287         17.195274        0.13186164E+12     118989.63        0.13625403E+21    0.35038327E+16     3.2144303       -0.19318154        0.50848789E-03    0.47017390E-05
  -1.67000    -1298.6097         9.2781068         17.288234        0.13213941E+12     119340.13        0.13654106E+21    0.34864232E+16     3.1917353        -3.6749942        0.18440665        0.17094186E-02
  -1.66000    -1280.6942         9.2404741         17.380828        0.13273800E+12     119853.44        0.13715958E+21    0.34614693E+16     3.1546003        -7.0401401        0.67981189        0.63188397E-02
